org,repo_name,health_score,num_commits,max_num_commits,commit_count_metric,avg_opened_duration,min_opened_duration,opened_issued_metric,avg_merged_duration,min_merged_duration,merged_pr_metric,ratio,max_ratio,commit_developer_metric
othhotro,Roo.Exe,2.00,9144,9144,1.0,,,,,,,381.0,381.0,1.0
vedamire,wageservice,1.26,48,9144,0.005249344,851450000,850338000,0.998694,8000,2000,0.25,2.0,381.0,0.005249344
humberaquino,taxbot,1.23,72,9144,0.007874016,853146000,850338000,0.99670863,9000,2000,0.22222222,3.0,381.0,0.007874016
RichardJCase,bivalence-vm,1.12,24,9144,0.002624672,853190250,850338000,0.99665695,17000,2000,0.11764706,1.0,381.0,0.002624672
colaboradados,colaboradados.github.io,1.09,144,9144,0.015748031,853352000,850338000,0.99646807,34000,2000,0.05882353,6.0,381.0,0.015748031
alexweininger,recent-pdf,1.08,72,9144,0.007874016,851954000,850338000,0.9981032,29000,2000,0.06896552,3.0,381.0,0.007874016
hkaraoglu,node-commerce,1.08,96,9144,0.010498688,852538000,850338000,0.9974195,31000,2000,0.06451613,4.0,381.0,0.010498688
daniellacosse,idea-slot-machine,1.04,144,9144,0.015748031,850804000,850338000,0.9994523,246000,2000,0.008130081,6.0,381.0,0.015748031
torrac,innersource,1.04,144,9144,0.015748031,852412000,850338000,0.9975669,150000,2000,0.013333334,6.0,381.0,0.015748031
vogt4nick,datascience-bot,1.04,192,9144,0.020997375,850852000,850338000,0.9993959,,,,8.0,381.0,0.020997375
ofl,PleaseRepeatAfterMe,1.03,24,9144,0.002624672,853235000,850338000,0.9966047,81000,2000,0.024691358,1.0,381.0,0.002624672
jerimumhs,JerimumBot,1.02,168,9144,0.018372703,852591500,850338000,0.9973569,,,,3.5,381.0,0.009186352
nekofar,awesome-freelancers,1.02,48,9144,0.005249344,850951500,850338000,0.999279,288000,2000,0.0069444445,2.0,381.0,0.005249344
tinytsunami,Blog,1.02,96,9144,0.010498688,851935000,850338000,0.99812543,,,,4.0,381.0,0.010498688
uaraven,omg,1.02,96,9144,0.010498688,851752000,850338000,0.9983399,356000,2000,0.0056179776,4.0,381.0,0.010498688
brotherlogic,beerserver,1.02,48,9144,0.005249344,851121000,850338000,0.99908006,133000,2000,0.015037594,2.0,381.0,0.005249344
tsoding,HyperNerd,1.02,72,9144,0.007874016,850365000,850338000,0.99996823,,,,3.0,381.0,0.007874016
jkowalleck,nichtparasoupV2,1.01,72,9144,0.007874016,8.521657E8,850338000,0.99785525,,,,3.0,381.0,0.007874016
wolfadex,elm-text-adventure,1.01,72,9144,0.007874016,851776500,850338000,0.99831116,,,,3.0,381.0,0.007874016
AppImage,pkg2appimage,1.01,48,9144,0.005249344,853769000,850338000,0.99598134,2728000,2000,7.3313783E-4,2.0,381.0,0.005249344
SamanthaNguyen,Bioinformatics,1.01,72,9144,0.007874016,853737000,850338000,0.9960187,492000,2000,0.0040650405,1.5,381.0,0.003937008
SparkEdUAB,sparked-client,1.01,48,9144,0.005249344,852889000,850338000,0.997009,,,,2.0,381.0,0.005249344
monocilindro,PointCloudWorkshop-Oct2019,1.01,24,9144,0.002624672,,,,2000,2000,1.0,1.0,381.0,0.002624672
arnauddupuis,hac-game-lib,1.01,72,9144,0.007874016,851913000,850338000,0.99815124,1926000,2000,0.0010384216,3.0,381.0,0.007874016
ad-m,s3rver,1.01,24,9144,0.002624672,,,,2000,2000,1.0,1.0,381.0,0.002624672
AugurProject,augur,1.01,48,9144,0.005249344,850488000,850338000,0.99982363,,,,2.0,381.0,0.005249344
jeanropke,RDR2CollectorsMap,1.01,24,9144,0.002624672,851685000,850338000,0.99841845,1218000,2000,0.0016420361,1.0,381.0,0.002624672
world-class,alerts-cm1020-discrete-math,1.01,24,9144,0.002624672,850480000,850338000,0.99983305,,,,1.0,381.0,0.002624672
EnigmaDragons,LDJAM45,1.01,96,9144,0.010498688,851817000,850338000,0.9982637,,,,2.0,381.0,0.005249344
fakegit,lolisafe,1.01,24,9144,0.002624672,,,,2000,2000,1.0,1.0,381.0,0.002624672
w3c,ttml2-tests,1.01,48,9144,0.005249344,850381000,850338000,0.99994946,,,,2.0,381.0,0.005249344
SciSharp,NumSharp,1.01,48,9144,0.005249344,851109500,850338000,0.99909353,,,,2.0,381.0,0.005249344
Edmund1645,Santafied,1.01,24,9144,0.002624672,,,,2000,2000,1.0,1.0,381.0,0.002624672
ProgVal,Limnoria,1.01,24,9144,0.002624672,850356000,850338000,0.99997884,,,,1.0,381.0,0.002624672
lucasinocente,simple-messenger,1.01,24,9144,0.002624672,850497000,850338000,0.9998131,546000,2000,0.0036630037,1.0,381.0,0.002624672
Pandinosaurus,tangram-es,1.01,24,9144,0.002624672,,,,2000,2000,1.0,1.0,381.0,0.002624672
nyu-software-engineering,fall-2019-groceries,1.00,,,,852533500,850338000,0.9974247,,,,,,
s3ql,s3ql,1.00,,,,853876000,850338000,0.9958565,,,,,,
kubernetes-sigs,controller-runtime,1.00,,,,853874000,850338000,0.99585885,,,,,,
mxochicale,exploring,1.00,,,,853154500,850338000,0.99669874,,,,,,
ashmind,SharpLab,1.00,,,,853857000,850338000,0.9958787,,,,,,
Imgkl,Quote,1.00,,,,853851000,850338000,0.99588567,,,,,,
headsetapp,headset-electron,1.00,,,,853830000,850338000,0.99591017,,,,,,
