org,repo_name,health_score,num_commits,max_num_commits,commit_count_metric,avg_opened_duration,min_opened_duration,opened_issued_metric,avg_merged_duration,min_merged_duration,merged_pr_metric,ratio,max_ratio,commit_developer_metric
bossm,chancechat,2.00,40344,40344,1.0,,,,,,,40344.0,40344.0,1.0
josdejong,mathjs,1.00,1,40344,2.4786834E-5,664000,663000,0.99849397,5119000,0,0.0,1.0,40344.0,2.4786834E-5
aws,sagemaker-spark,1.00,,,,664000,663000,0.99849397,,,,,,
brettwooldridge,HikariCP,0.99,,,,671000,663000,0.9880775,,,,,,
shouldnotappearcalm,yapi-plugin-interface-oauth2-token,0.99,,,,669000,663000,0.9910314,,,,,,
Yelp,swagger-gradle-codegen,0.96,,,,692000,663000,0.9580925,,,,,,
tseguier,health-check,0.96,,,,690000,663000,0.96086955,,,,,,
OFIR2102,github-slideshow,0.96,,,,688000,663000,0.9636628,,,,,,
maidsafe,safe_client_libs,0.95,1,40344,2.4786834E-5,698000,663000,0.94985676,11149000,0,0.0,1.0,40344.0,2.4786834E-5
michaeldyrynda,laravel-cascade-soft-deletes,0.94,,,,706000,663000,0.9390935,,,,,,
Geoft-Biryukov,BinaryFileConversion,0.93,,,,716000,663000,0.92597765,,,,,,
androidneter,FaceRecognitionUI,0.93,,,,716000,663000,0.92597765,,,,,,
SEMICeu,CCCEV,0.93,,,,715000,663000,0.92727274,,,,,,
macks22,daft-builder,0.93,,,,715000,663000,0.92727274,,,,,,
fengcode5211,MyPing,0.92,,,,720000,663000,0.92083335,,,,,,
FlyBase,drosophila-anatomy-developmental-ontology,0.91,2,40344,4.9573668E-5,726000,663000,0.91322315,,,,1.0,40344.0,2.4786834E-5
apiaryio,gavel-spec,0.91,1,40344,2.4786834E-5,729000,663000,0.909465,156000,0,0.0,1.0,40344.0,2.4786834E-5
plouc,nivo,0.91,,,,732000,663000,0.9057377,,,,,,
gcoro,react-qrcode-logo,0.90,,,,738000,663000,0.89837396,,,,,,
AlexTezza,activity_control,0.89,1,40344,2.4786834E-5,748000,663000,0.8863636,,,,1.0,40344.0,2.4786834E-5
pawelgrzybek,gatito-theme,0.89,,,,741000,663000,0.8947368,,,,,,
opnsense,plugins,0.88,1,40344,2.4786834E-5,756000,663000,0.8769841,,,,1.0,40344.0,2.4786834E-5
autotester-one,integration-tests-58838,0.88,,,,755000,663000,0.8781457,,,,,,
ActiveForums,ActiveForums,0.88,,,,754000,663000,0.87931037,,,,,,
South-Paw,storybook-addon-overview-angular,0.88,,,,750000,663000,0.884,,,,,,
gdombiak,OctoPod,0.87,1,40344,2.4786834E-5,759000,663000,0.8735178,,,,1.0,40344.0,2.4786834E-5
sciapp,python-gr,0.86,,,,773000,663000,0.8576973,,,,,,
devopsloft,devopsloft,0.85,,,,784000,663000,0.84566325,,,,,,
vaadin,framework,0.84,4,40344,9.9147335E-5,794000,663000,0.8350126,,,,4.0,40344.0,9.9147335E-5
srmklive,laravel-paypal,0.83,,,,801000,663000,0.82771534,,,,,,
stkenny,grefine-rdf-extension,0.83,,,,797000,663000,0.8318695,,,,,,
Tencent,MedicalNet,0.82,,,,806000,663000,0.82258064,,,,,,
crosire,scripthookvdotnet,0.82,,,,805000,663000,0.8236025,,,,,,
bchavez,Bogus,0.81,1,40344,2.4786834E-5,817000,663000,0.8115055,,,,1.0,40344.0,2.4786834E-5
threefoldfoundation,tfchain,0.81,,,,818000,663000,0.81051344,,,,,,
keith,DotCSS,0.81,,,,814000,663000,0.81449634,,,,,,
BlogApps,kento75-gatsby-blog,0.79,1,40344,2.4786834E-5,843000,663000,0.78647685,26000,0,0.0,1.0,40344.0,2.4786834E-5
ros2,ros1_bridge,0.79,,,,843000,663000,0.78647685,,,,,,
Tencent,Shadow,0.77,,,,861000,663000,0.77003485,,,,,,
ZJONSSON,node-unzipper,0.76,2,40344,4.9573668E-5,878000,663000,0.7551253,3901000,0,0.0,2.0,40344.0,4.9573668E-5
ptomasroos,react-native-tab-navigator,0.76,,,,872000,663000,0.7603211,,,,,,
igraph,rigraph,0.76,,,,868000,663000,0.7638249,,,,,,
yarnpkg,berry,0.75,7,40344,1.7350783E-4,883000,663000,0.75084937,7064000,0,0.0,7.0,40344.0,1.7350783E-4
openBackhaul,airInterface,0.75,,,,886000,663000,0.748307,,,,,,
elixir-luxembourg,daisy,0.73,11,40344,2.7265516E-4,908000,663000,0.7301762,56754000,0,0.0,5.5,40344.0,1.3632758E-4
cda-group,arcon,0.73,,,,909000,663000,0.7293729,,,,,,
kornelski,undither,0.72,,,,921000,663000,0.71986973,,,,,,
matrix-org,matrix.org,0.71,10,40344,2.4786833E-4,934000,663000,0.70985013,,,,10.0,40344.0,2.4786833E-4
TeamJM,journeymap,0.71,,,,940000,663000,0.70531917,,,,,,
ghiscoding,Angular-Slickgrid,0.70,4,40344,9.9147335E-5,948000,663000,0.6993671,,,,4.0,40344.0,9.9147335E-5
BeamMW,beam,0.70,9,40344,2.230815E-4,947000,663000,0.7001056,,,,2.25,40344.0,5.5770375E-5
ppodgorsek,sap-commerce-utils,0.70,,,,949000,663000,0.69863015,,,,,,
autotester-one,integration-tests-66402,0.70,,,,946000,663000,0.70084566,,,,,,
FERNman,angular-google-charts,0.68,,,,972000,663000,0.68209875,,,,,,
appelmar,gdalcubes_R,0.67,2,40344,4.9573668E-5,985000,663000,0.6730964,13000,0,0.0,2.0,40344.0,4.9573668E-5
AzureAD,azure-activedirectory-library-for-dotnet,0.67,2,40344,4.9573668E-5,989000,663000,0.6703741,,,,2.0,40344.0,4.9573668E-5
barbushin,php-imap,0.67,,,,988000,663000,0.67105263,,,,,,
imotov,elasticsearch-analysis-morphology,0.67,,,,984000,663000,0.6737805,,,,,,
LinkdropHQ,linkdrop-monorepo,0.66,18,40344,4.46163E-4,1006000,663000,0.6590457,39454.547,0,0.0,6.0,40344.0,1.48721E-4
encode,uvicorn,0.65,5,40344,1.2393417E-4,1017000,663000,0.6519174,16386000,0,0.0,5.0,40344.0,1.2393417E-4
djaodjin,djaoapp,0.65,,,,1018500,663000,0.6509573,,,,,,
autotester-one,integration-tests-97289,0.65,,,,1024666.7,663000,0.6470397,,,,,,
eclipse,sprotty-server,0.64,,,,1031000,663000,0.643065,,,,,,
profan,meia-lua,0.64,,,,1033000,663000,0.64181995,,,,,,
rwynn,monstache,0.64,,,,1031000,663000,0.643065,,,,,,
Asutorufa,Asutorufa.github.io,0.63,3,40344,7.43605E-5,1057000,663000,0.6272469,,,,3.0,40344.0,7.43605E-5
zxjyb,sddfh,0.63,1,40344,2.4786834E-5,1059333.4,663000,0.62586534,,,,1.0,40344.0,2.4786834E-5
xpressengine,xe-core,0.63,,,,1049000,663000,0.6320305,,,,,,
su2code,SU2,0.62,16,40344,3.9658934E-4,1073000,663000,0.61789376,,,,3.2,40344.0,7.931787E-5
GluuFederation,gluu-gateway,0.62,1,40344,2.4786834E-5,1070000,663000,0.61962616,,,,1.0,40344.0,2.4786834E-5
kilic,fp,0.62,,,,1076000,663000,0.616171,,,,,,
Code-Poets,sheetstorm,0.61,11,40344,2.7265516E-4,1095000,663000,0.6054795,2911000,0,0.0,2.2,40344.0,5.4531032E-5
mjmlio,mjml,0.61,,,,1093000,663000,0.60658735,,,,,,
tborychowski,newtab-bookmarks,0.61,,,,1085000,663000,0.6110599,,,,,,
codex-team,eslint-config,0.61,,,,1081000,663000,0.613321,,,,,,
LanguageMachines,ucto,0.60,,,,1112000,663000,0.596223,,,,,,
swagger-api,swagger-editor,0.59,1,40344,2.4786834E-5,1118000,663000,0.59302324,686000,0,0.0,1.0,40344.0,2.4786834E-5
richardchien,nonebot,0.59,,,,1130000,663000,0.58672565,,,,,,
graphql-editor,graphql-editor,0.58,2,40344,4.9573668E-5,1137000,663000,0.58311343,,,,2.0,40344.0,4.9573668E-5
agronholm,apscheduler,0.58,,,,1152000,663000,0.5755208,,,,,,
atteo,classindex,0.58,,,,1141000,663000,0.58106923,,,,,,
